GAMEPLAY_Crouch,Crouch,,Krøk
GAMEPLAY_CrouchNoInteract,You cannot interact with the Survivor while crouching here,,
GAMEPLAY_CrowFeather,Crow Feather,,Kråkefjør
GAMEPLAY_CrowFeatherDescription,"A feather from a Crow. Add it to an Arrow Shaft to make a usable, stabilized arrow.",,Ei fjør frå ei kråke. Fest nokon til enden av eit pilskaft for å laga ei stabil pil.
GAMEPLAY_CrowFeathers,Crow Feathers,,Kråkefjører
GAMEPLAY_Cupboard,Cupboard,,Skap
GAMEPLAY_CupboardContainerOpen,Open Cupboard,,Opn skap
GAMEPLAY_CupboardContainerSearch,Search Cupboard,,Gransk skap
GAMEPLAY_CuredPostfix,({%-value}% Cured),cured as in dried,({%-value} % turka)
GAMEPLAY_CurrentCalories,Current Calories,,Noverande kaloriar
GAMEPLAY_CurrentChallenge,Current Challenge,as in the challenge mode that is currently being played,Nogjeldande utfordring
GAMEPLAY_CurrentLanguage,English,"Native name of each language, so the name of the language in that language. For example, English is ""English"" and German is ""deutsch"".",Nynorsk
GAMEPLAY_CurrentMission,Current Mission,mission popup for the active mission,
GAMEPLAY_CurrentNeeds,Current Needs,,Noverande behov
GAMEPLAY_CurrentSandbox,Current Sandbox,,Noverande sandkasse
GAMEPLAY_CurrentTime,Current Time,,Tida no
GAMEPLAY_CurrentTrust,Current Trust,,Noverande tru
GAMEPLAY_Curtain,Curtain,single curtain/drape window covering,Gardin
GAMEPLAY_Custom,Custom,Custom quality setting,Eigendefinert
GAMEPLAY_CustomExperience,Custom Toolbox,,
GAMEPLAY_CustomModeAdjustFreezingNearbyFire,Fires Prevent Freezing,,
GAMEPLAY_CustomModeAllowInteriorSpawn,Player Spawns Indoors,,
GAMEPLAY_CustomModeAllowVoiceover,Survivor Monologue,,
GAMEPLAY_CustomModeAuroraFrequency,Aurora Frequency,,
GAMEPLAY_CustomModeBaseWorldDifficulty,Baseline Resource Availability,,
GAMEPLAY_CustomModeBearSpawnChance,Bear Spawn Chance,,
GAMEPLAY_CustomModeBirchBarkTeaCraftingEnabled,Birch Bark Tea Crafting,,
GAMEPLAY_CustomModeBlizzardFrequency,Blizzard frequency,,
GAMEPLAY_CustomModeBrokenRibs,Broken Ribs,,
GAMEPLAY_CustomModeCabinFever,Cabin Fever,,
GAMEPLAY_CustomModeCalorieBurnRate,Calorie Burn Rate,,
GAMEPLAY_CustomModeConditionRecoveryAwake,Condition Recovery Rate,,
GAMEPLAY_CustomModeConditionRecoveryRest,At-Rest Condition Recovery Rate,,
GAMEPLAY_CustomModeDayNightMultiplier,Length of Day Multiplier,,
GAMEPLAY_CustomModeDeerSpawnChance,Deer Spawn Chance,,
GAMEPLAY_CustomModeDysentery,Dysentery,,
GAMEPLAY_CustomModeEmptyContainerChance,Empty Container Chance,,
GAMEPLAY_CustomModeEndlessNight,Endless Night,,
GAMEPLAY_CustomModeFatigueIncrease,Fatigue Rate,,
GAMEPLAY_CustomModeFishSpawnChance,Fish Spawn Chance,,
GAMEPLAY_CustomModeFoodPoisoning,Food Poisoning,,
GAMEPLAY_CustomModeFreezingIncrease,Freezing Rate,,
GAMEPLAY_CustomModeFrostbiteRisk,Frostbite Rate,,
GAMEPLAY_CustomModeGradualTempReduction,World Gets Colder Over Time,,
GAMEPLAY_CustomModeHoursToCureHypothermia,Hypothermia Recovery Time,,
GAMEPLAY_CustomModeInterruptIfFreezingWhileSleeping,Wake Up Player When Freezing,,
GAMEPLAY_CustomModeItemDecayRate,Item Decay Rate,,
GAMEPLAY_CustomModeItemSpawnChance,Loose Item Availability,,
GAMEPLAY_CustomModeLimitedRest,Rest as a Resource,,
GAMEPLAY_CustomModeMooseSpawnChance,Moose Spawn Chance,,
GAMEPLAY_CustomModeNoPredatorsFirstDay,Predator Grace Period,,
GAMEPLAY_CustomModeParasites,Intestinal Parasites,,
GAMEPLAY_CustomModePlantSpawnFreq,Harvestable Plant Availability,,
GAMEPLAY_CustomModeRabbitSpawnChance,Rabbit Spawn Chance,,
GAMEPLAY_CustomModeReduceMaxItemsInContainers,Reduce Container Item Density,"Added qualifier ""Reduce"" to the beginning of this tooltip.",
GAMEPLAY_CustomModeReduceWildlifePopOverTime,Reduce Wildlife Population Over Time,,
GAMEPLAY_CustomModeRevolversInWorld,Revolvers,,
GAMEPLAY_CustomModeRiflesInWorld,Rifle Availability,,
GAMEPLAY_CustomModeScentIncreaseBlood,Scent Increase from Meat/Blood,,
GAMEPLAY_CustomModeSprains,Sprains,,
GAMEPLAY_CustomModeStartingGear,Starting Gear Allocation,,
GAMEPLAY_CustomModeStartingTOD,Starting Time of Day,,
GAMEPLAY_CustomModeStartingWeather,Starting Weather,,
GAMEPLAY_CustomModeStickBranchStoneFreq,"Stick, Branch, and Stone Spawn Frequency",,
GAMEPLAY_CustomModeStruggleClothingDamage,Struggle Clothing Damage,,
GAMEPLAY_CustomModeStruggleDamageEventSeverity,Struggle Damage Severity,,
GAMEPLAY_CustomModeStruggleDamageReceivedModifier,Struggle Condition Damage,,
GAMEPLAY_CustomModeStrugglePlayerStrengthBonus,Struggle Fighting Back Bonus,,
GAMEPLAY_CustomModeThirstIncrease,Thirst Rate,,
GAMEPLAY_CustomModeTimberWolfFear,Timberwolf Morale,,
GAMEPLAY_CustomModeTimberWolfSpawnChance,Timberwolf Spawn Chance,,
GAMEPLAY_CustomModeTooltipAdjustFreezingNearbyFire,"With this enabled, you will never Freeze when sitting near an active Fire, no matter how cold it is beyond that fire.",,
GAMEPLAY_CustomModeTooltipAllowInteriorSpawn,Likelihood of spawning indoors at game start. Indoor start spawns tend to be easier.,,
GAMEPLAY_CustomModeTooltipAllowVoiceover,"Turns the Survivor monologue on or off. NOTE: Turning this off may negatively impact gameplay, as it removes a vital piece of player feedback.",,
GAMEPLAY_CustomModeTooltipAuroraFrequency,Influences how often the Aurora appears.,,
GAMEPLAY_CustomModeTooltipBaseWorldDifficulty,"Determines the base availability of any spawnable resource, including shelters and gear items. Sets a baseline level of challenge which can be modified using more granular settings.",,
GAMEPLAY_CustomModeTooltipBearSpawnChance,Affects potential Bear population in the game.,,
GAMEPLAY_CustomModeTooltipBirchBarkTeaCraftingEnabled,Enable Birch Bark Tea Crafting,,
GAMEPLAY_CustomModeTooltipBlizzardFrequency,Determines how common Blizzards are.,,
GAMEPLAY_CustomModeTooltipBrokenRibs,Affects whether or not you can get Broken Ribs.,,
GAMEPLAY_CustomModeTooltipCabinFever,Determines whether you will risk the Cabin Fever affliction when remaining indoors for too long.,,
GAMEPLAY_CustomModeTooltipCalorieBurnRate,Affects how quickly you begin to Starve.,,
GAMEPLAY_CustomModeTooltipConditionRecoveryAwake,"The level of Condition recovery when not suffering from an affliction or low status (ex. Freezing, Starving, etc.). Makes the game easier.",,
GAMEPLAY_CustomModeTooltipConditionRecoveryRest,Modifies the rate of Condition recovery you gain from each hour of Rest.,,
GAMEPLAY_CustomModeTooltipDayNightMultiplier,"Modifies the length of a game day. 1x is the current default (1 game day = 2 real hours), with each multiplier slowing down in-game time by increasing the ratio of real hours to each game day.",,
GAMEPLAY_CustomModeTooltipDeerSpawnChance,Affects potential Deer population in the game.,,
GAMEPLAY_CustomModeTooltipDysentery,Affects whether or not you can get Dysentery from drinking non-potable Water.,,
GAMEPLAY_CustomModeTooltipEmptyContainerChance,Chance of a container being empty. High chance reduces overall resources in the world.,,
GAMEPLAY_CustomModeTooltipEndlessNight,Enables an endless night. The sun will never rise.,,
GAMEPLAY_CustomModeTooltipEndlessNight_Locked,"When enabled, an endless night persists for the duration of a Custom Mode game. NOTE: To unlock this setting, you must earn Escape the Darkwalker -- Umbra Badge (2020).",,
GAMEPLAY_CustomModeTooltipFatigueIncrease,Affects how quickly you become Exhausted.,,
GAMEPLAY_CustomModeTooltipFishSpawnChance,Affects your chance to catch Fish.,,
GAMEPLAY_CustomModeTooltipFoodPoisoning,Affects whether or not you risk getting Food Poisoning when eating low-Condition food items.,,
GAMEPLAY_CustomModeTooltipFreezingIncrease,Affects how quickly you lose Warmth and begin to Freeze.,,
GAMEPLAY_CustomModeTooltipFrostbiteRisk,Affects how quickly you get Frostbite.,,
GAMEPLAY_CustomModeTooltipGradualTempReduction,Affects how cold the world becomes over time.,,
GAMEPLAY_CustomModeTooltipHoursToCureHypothermia,Determines how long it takes to recover from Hypothermia. Fewer hours makes the game easier.,,
GAMEPLAY_CustomModeTooltipInterruptIfFreezingWhileSleeping,"If you start to Freeze when asleep, you will wake up. Helps prevent death by freezing in your sleep.",,
GAMEPLAY_CustomModeTooltipItemDecayRate,Affects how quickly items lose Condition over time.,,
GAMEPLAY_CustomModeTooltipItemSpawnChance,Modifies the amount of gear that spawns outside of Containers. Low chance reduces the amount of gear you find in the world.,,
GAMEPLAY_CustomModeTooltipLimitedRest,"With this turned on, you will wake up when fully Rested, which limits your ability to recover Condition. Makes the game more challenging.",,
GAMEPLAY_CustomModeTooltipMooseSpawnChance,Affects potential Moose population in the game.,,
GAMEPLAY_CustomModeTooltipNoPredatorsFirstDay,"No Predators will spawn in the first 24 hours of your game, allowing you some time to establish yourself.",,
GAMEPLAY_CustomModeTooltipParasites,Affects whether or not you can get Intestinal Parasites from eating certain types of Meat.,,
GAMEPLAY_CustomModeTooltipPlantSpawnFreq,Affects how many harvestable plants will spawn in each game.,,
GAMEPLAY_CustomModeTooltipRabbitSpawnChance,Affects potential Rabbit population in the game.,,
GAMEPLAY_CustomModeTooltipReduceMaxItemsInContainers,Modifies the amount of gear you find in each Container that is not empty.,,
GAMEPLAY_CustomModeTooltipReduceWildlifePopOverTime,"The rate at which the wildlife population diminishes over time, making the later game more challenging due to reduced resources.",,
GAMEPLAY_CustomModeTooltipRevolversInWorld,"Toggles whether Revolvers spawn in your game, or not.",,
GAMEPLAY_CustomModeTooltipRiflesInWorld,Determines if Rifles spawn or not. Removing Rifles from the game makes it much more challenging.,,
GAMEPLAY_CustomModeTooltipScentIncreaseBlood,Affects how strongly Scent is emitted from raw meat or Blood. Higher scent attracts predators from further away.,,
GAMEPLAY_CustomModeTooltipSprains,Affects whether or not you can Sprain your wrist or ankle.,,
GAMEPLAY_CustomModeTooltipStartingGear,Affects the quality and amount of gear you start the game with.,,
GAMEPLAY_CustomModeTooltipStartingTOD,Fixes the starting time of day for every new run of this Experience.,,
GAMEPLAY_CustomModeTooltipStartingWeather,Fixes the starting weather type for every new run of this Experience.,,
GAMEPLAY_CustomModeTooltipStickBranchStoneFreq,Affects the availability of these resources in the world.,,
GAMEPLAY_CustomModeTooltipStruggleClothingDamage,Affects how much damage your Clothing will take during a Wildlife Struggle.,,
GAMEPLAY_CustomModeTooltipStruggleDamageEventSeverity,"Affects the types of damage outcomes from Wildlife struggles (ex. Blood Loss, Clothing Damage, etc.)",,
GAMEPLAY_CustomModeTooltipStruggleDamageReceivedModifier,Affects the amount of Condition damage you receive during a Struggle.,,
GAMEPLAY_CustomModeTooltipStrugglePlayerStrengthBonus,"Modifies how effectively you Fight Back during a struggle. More effective means the Struggle is shorter and you take less damage, etc.",,
GAMEPLAY_CustomModeTooltipThirstIncrease,Affects how quickly you become Dehydrated,,
GAMEPLAY_CustomModeTooltipTimberWolfFear,Lower to reduce weapon and item effectiveness at damaging Timberwolf Morale. Raise to increase weapon and item effectiveness.,,
GAMEPLAY_CustomModeTooltipTimberWolfSpawnChance,,,
GAMEPLAY_CustomModeTooltipUseMinAirTempValue,"Fires automatically set the Air Temp to just above freezing, no matter how much fuel you add or how cold it is outside. Windchill is still in effect.",,
GAMEPLAY_CustomModeTooltipWeatherChangeFrequency,Determines how often the weather will change. More variation can be harder to adapt to.,,
GAMEPLAY_CustomModeTooltipWildlifeDetectionRange,Makes wildlife more or less aware of your presence.,,
GAMEPLAY_CustomModeTooltipWildlifeFleeChance,"Affects the chance that Wildlife will flee when Detecting you. Makes hunting more challenging, but also means Predators attack less.",This variable won't be made visible for the December update.,
GAMEPLAY_CustomModeTooltipWildlifeInterruptRest,Affects whether outdoor Rest could be interrupted by Wildlife attacks. Does not apply to wildlife currently Stalking you when you begin Resting.,,
GAMEPLAY_CustomModeTooltipWildlifeNotAttackUnprovoked,"Wildlife will not attack, and will generally flee from you, unless you provoke them directly.",,
GAMEPLAY_CustomModeTooltipWildlifeRespawnFreq,Affects how often wildlife spawns are refreshed within a valid spawn area.,,
GAMEPLAY_CustomModeTooltipWildlifeSmellRange,Modifies the range at which Wildlife can detect you based on Scent (i.e. they do not have to see you to detect you).,,
GAMEPLAY_CustomModeTooltipWindVariability,"Affects how often the wind changes speed and direction, which can have an impact on shelters and Wind Chill effects.",,
GAMEPLAY_CustomModeTooltipWolfFleeChance,"Affects the chance that Wolves will flee when detecting you, rather than hunting you.",,
GAMEPLAY_CustomModeTooltipWolfSpawnChance,Affects potential Wolf population in the game.,,
GAMEPLAY_CustomModeTooltipWolfSpawnDistance,Affects how far away wolves may spawn when you enter or exit an interior. Closer means they are more likely to catch you unawares.,,
GAMEPLAY_CustomModeUseMinAirTempValue,Fire Overcomes Ambient Air Temp,,
GAMEPLAY_CustomModeWeatherChangeFrequency,Weather Variability,,
GAMEPLAY_CustomModeWildlifeDetectionRange,Wildlife Detection Range,,
GAMEPLAY_CustomModeWildlifeFleeChance,Wildlife Flee Chance,This variable won't be made visible for the December update.,
GAMEPLAY_CustomModeWildlifeInterruptRest,Wildlife Attacks During Rest,,
GAMEPLAY_CustomModeWildlifeNotAttackUnprovoked,Passive Wildlife,,
GAMEPLAY_CustomModeWildlifeRespawnFreq,Wildlife Respawn Frequency,,
GAMEPLAY_CustomModeWildlifeSmellRange,Wildlife Smell Range,,
GAMEPLAY_CustomModeWindVariability,Wind Variability,,
GAMEPLAY_CustomModeWolfFleeChance,Wolf Fear,,
GAMEPLAY_CustomModeWolfSpawnChance,Wolf Spawn Chance,,
GAMEPLAY_CustomModeWolfSpawnDistance,Wolf Spawn Distance,,
GAMEPLAY_CustomSectionEnvironment,Environment,,
GAMEPLAY_CustomSectionGameStart,Game Start,,
GAMEPLAY_CustomSectionGear,Gear,,
GAMEPLAY_CustomSectionHealth,Health,,
GAMEPLAY_CustomSectionWildlifeBehaviour,Wildlife Behaviour,,
GAMEPLAY_CustomSectionWildlifeSpawns,Wildlife Spawns,,
GAMEPLAY_CustomSectionWildlifeStruggle,Wildlife Struggle,,
GAMEPLAY_CutRopes,Cut Ropes,,
GAMEPLAY_Cutting,Cutting...,Using bolt cutters on a lock/chain,Kuttar…
GAMEPLAY_CuttingBoard,Cutting Board,"a wooden, kitchen cutting board",Skjerefjøl
GAMEPLAY_CycleBest,Cycle Best,,Bla i rekorder
GAMEPLAY_DailyLog,Daily Log,,Dagleg logg
GAMEPLAY_DamageEventBloodLoss,Blood Loss,,Blodtap
GAMEPLAY_DamageEventLaceration,Laceration,,Flengje
GAMEPLAY_DamageEventMajorBruising,Major Bruising,,Svært blåmerke
GAMEPLAY_DamageEventMinorBruising,Minor Bruising,,Lite blåmerke
GAMEPLAY_DamageEventRippedClothing,Clothing,,Klede
GAMEPLAY_DamageEventRiskOfInfection,Infection Risk,,Infeksjonsrisiko
GAMEPLAY_DamageEventSprainedAnkle,Sprained Ankle,,Rengja ankel
GAMEPLAY_DamageEventSprainedWrist,Sprained Wrist,,Rengja handledd
GAMEPLAY_DamCollectible1,Carter Hydro Dam -- Safety & Shutdown Notice,,Carter-demningen: Tryggleik og stenging notat
GAMEPLAY_DamCollectible1Description,"Official looking notice, written on Carter Hydro Dam letterhead. The letter is damaged and some of the words are hard to make out. It is dated from some time in the 1990s, although the exact date is illegible.",,"Eit notat som ser offisielt ut, skriven på Carter-demningen sitt brevpapir. Brevet er skada, og nokon av orda er vanskelege å tyda. Brevet er datert ein eller annen gong på nittitalet, men den eksakte datoen er uleseleg."
GAMEPLAY_DamCollectible1DescriptionNarrativeText,"""I'm sure this will come as no surprise to you, but ever since seismic activity on the Island has become such an issue, it's been almost impossible to run Carter Dam profitably. Besides that, the recent eco-activism -- or, let's call it what it is: terrorism -- has introduce new risks that have brought plant and worker safety into question. Therefore, I'm sad to report that after years of trying to modernize Carter Dam, and after the failed attempts of its original creator, the eponymous Richard Carter, it's finally time for me to also admit defeat, as he did those decades ago. No ambition of mine justifies putting your lives in danger. All workers will be transported out as soon as we can guarantee your safety. In the mean time, please keep an eye out for any suspicous activity in or around the Dam -- the so-called ""Forest Talkers"" are still active in the area. Thank you for your dedication to the cause. Yours truly, Robert Clarke, CEO, Carter Hydro Energy.""",,"Dette vil sikkert ikkje koma som ein overraskelse, men heilt sidan den seismiske aktiviteten på øya begynte å verta eit problem, har det nesten vert umogleg å drive Carter-demningen med profitt. Miljøvernaktivistmen har i seinare tid – forresten, lat oss kalla det for det det er: «terrorisme» – ført med seg nye fareelement som er ein trussel mot tryggleika til verket og arbeidarane her. Derfor må eg dessverre dela at eg òg, etter å ha streva i mange år med å modernisera Carter-demningen etter dei mislukka forsøka til den opprinnelege eigaren, Richard Carter, som ga demningen sitt namn, omsider er naudt til å innrømma nederlag, slik som Carter gjorde flere tiår sidan. Ingen av mine ambisjonar rettferdiggjer å settja dykkar liv i fare. Alle arbeidarar vil verta transportert ut so snart me kan garantera for tryggleika. I mellomtida må de sjå opp for mistenkeleg aktivitet i og rundt demningen. De såkalte Skogpratarane er fortsatt aktive i området. Takk for innsatsen for saken. Mvh. Robert Clarke, administrerende direktør i Carter vasskraft."
GAMEPLAY_DamFenceKey,Carter Hydro Staging Area Gate Key,,Portnykel til transittområde ved Carter-demningen
GAMEPLAY_DamFenceKeyDescription,Key for the gate in the fence surrounding the Carter Hydro Dam staging area.,A key for the fence gate outside the Dam,Nykel til porten i gjerdet rundt transittområde ved Carter-demningen.
GAMEPLAY_DamGarbageLetter,Trash Can Letter,,Bosdunkbrev
GAMEPLAY_DamGarbageLetterDescription,Letter found in garbage can in the bathroom at Carter Hydro Dam.,,Eit brev funne i bosdunken på badet i Carter-demningen.
GAMEPLAY_DamGarbageLetterDescriptionNarrativeText,"""I'm so ****ed off at you. You told me the Forest Talkers were legit and that we'd be doing ""good work"" out here. All I've seen is a ragtag bunch of dumbies who are disorganized and have no plan. It's way too cold to be out here this time of year, and the wildlife -- I mean, you didn't tell me there would be *actual* wolves out here. This is crazy. You can hear them outside at night, howling. It's making me crazy. What are we doing out here? People said Great Bear was hit hard by the quakes but man, I had no idea it was so stuck in the...dark ages. You owe big time for bringing those supplies, and if the weather doesn't warm up soon, I'm outta here, and you will not be seeing me again any time soon.""",,"Eg er dritsur på deg. Du fortalte meg at Skogpratarane drev på reieleg vis, og at me skulle gjera «viktig arbeid» her ute. Det einaste eg har sitt, er ein lurvete gjeng uorganiserte idiotar utan ein plan. Det er altfor kaldt her på denne tida av året, og dei ville dyra … eg meiner, du sa ingenting om at det var ekte ulvar her. Dette er galskap. Du kan høyra dei ute om natta, ulvane. Eg vert sprø. Kva gjer me her ute? Folk sa at Sværebjørn fekk gjennomgå under jordskjelva, men eg ante ikkje at øya var satt attende til … middelalderen. Du står i stor gjeld til meg for at eg tok med dei forsyningane, og viss det ikkje vert varmare i vêret snart, fer eg, og då ser du meg ikkje igjen på ei stund."
GAMEPLAY_DamLockerKey,Aid Station Medical Locker Key,,Nykel til medisinskåp i fyrstehjelpstasjon
GAMEPLAY_DamLockerKeyDescription,A key to the Medical Locker at the aid station in Carter Hydro Dam.,A key for the Dam's medical locker,Ein nykel til medisinskåpet i Carter-demningen sin fyrstehjelpstasjon.
GAMEPLAY_Darker,Darker,screen brightness decrease,Mørkare
GAMEPLAY_DarkwalkerCompleteDiaryPagesFound,You Found {number} of {total} Diary Pages,,
GAMEPLAY_DarkwalkerDiary1,Diary Page,,
GAMEPLAY_DarkwalkerDiary10,Diary Page,,
GAMEPLAY_DarkwalkerDiary10Description,A page torn from a notebook.,,
GAMEPLAY_DarkwalkerDiary10Narrative,"...do I give in to its will? That may be the only way back. But not yet, not yet. As long as I paint, I live...","Diary entry, male author",
GAMEPLAY_DarkwalkerDiary11,On the Nature of Darkwalkers,"Do not translate ""Darkwalkers.""",
GAMEPLAY_DarkwalkerDiary11Description,"A typewritten document, faded and damp from the weather.",,
GAMEPLAY_DarkwalkerDiary11Narrative,"Glyphs of Power and their Uses:
Lure -- Attract the Darkwalker
Ward -- A shield, if only for a little while.
Dispel -- Push back the choking fog. But only once.","UI label, Do not translate «Darkwalker»",
GAMEPLAY_DarkwalkerDiary1Description,A page torn from a notebook.,,
GAMEPLAY_DarkwalkerDiary1Narrative,"...can’t see it, can’t fight it...only running. My heart, a black echo in the forest, always hunting for a green fire...","Diary entry, male author",
GAMEPLAY_DarkwalkerDiary2,Diary Page,,
GAMEPLAY_DarkwalkerDiary2Description,A page torn from a notebook.,,
GAMEPLAY_DarkwalkerDiary2Narrative,The poison in my blood draws it closer...and now that poison fills the air...the formless hunting a form.,"Diary entry, male author",
GAMEPLAY_DarkwalkerDiary3,Diary Page,,
GAMEPLAY_DarkwalkerDiary3Description,A page torn from a notebook.,,
GAMEPLAY_DarkwalkerDiary3Narrative,"...the signs hold it at bay, or lead it away from me...but who is the Glyph-maker?","Diary entry, male author",
GAMEPLAY_DarkwalkerDiary4,Diary Page,,
GAMEPLAY_DarkwalkerDiary4Description,A page torn from a notebook.,,
GAMEPLAY_DarkwalkerDiary4Narrative,"...dead and dreaming, my only friend, the faceless moon who won’t look away. There is no sunrise on Ganymede...","Diary entry, male author",
GAMEPLAY_DarkwalkerDiary5,Diary Page,,
GAMEPLAY_DarkwalkerDiary5Description,A page torn from a notebook.,,
GAMEPLAY_DarkwalkerDiary5Narrative,"I crept upon the nameless city, stars in my eyes. But those eyes no longer see the world...just a choking mist. Over the horizon, that is where I escape.","Diary entry, male author",
GAMEPLAY_DarkwalkerDiary6,Diary Page,,
GAMEPLAY_DarkwalkerDiary6Description,A page torn from a notebook.,,
GAMEPLAY_DarkwalkerDiary6Narrative,"...a pale river, turned in on itself, a rush of blood to my head. Only the crooked path leads me away...","Diary entry, male author",
GAMEPLAY_DarkwalkerDiary7,Diary Page,,
GAMEPLAY_DarkwalkerDiary7Description,A page torn from a notebook.,,
GAMEPLAY_DarkwalkerDiary7Narrative,"I discarded the farsighted mask, and only bone remains. The gate is closed. Will it come for me now?","Diary entry, male author",
GAMEPLAY_DarkwalkerDiary8,Diary Page,,
GAMEPLAY_DarkwalkerDiary8Description,A page torn from a notebook.,,
GAMEPLAY_DarkwalkerDiary8Narrative,"The gnashing, the grinding, a thing from the stars. But no beauty sets down from that endless void...","Diary entry, male author",
GAMEPLAY_DarkwalkerDiary9,Diary Page,,
GAMEPLAY_DarkwalkerDiary9Description,A page torn from a notebook.,,
GAMEPLAY_DarkwalkerDiary9Narrative,"I climbed the tall mountain, but it wormed in the earth below me. There was no escape, not even high above...my delirium has become its feeding ground.","Diary entry, male author",
GAMEPLAY_DarkwalkerDispelFog_Desc,Delay fog by 50%. One use only.,{bracket text} remains in English,
GAMEPLAY_DarkwalkerID,ID: Naomi Moore,,
GAMEPLAY_DarkwalkerID_Desc,An identification card belonging to Naomi Moore.,,
GAMEPLAY_DarkwalkerID_Narrative,"Affiliate Researcher, Institute for New Awakenings",,
GAMEPLAY_DarkwalkerKillscreen01,You Have Died,,
GAMEPLAY_DarkwalkerKillscreen02,The Darkwalker Has Devoured You,"UI label, Do not translate «Darkwalker»",
GAMEPLAY_DarkwalkerLure_Desc,Attract the Darkwalker.,"UI label, Do not translate «Darkwalker»",
GAMEPLAY_DarkwalkerProximity,Darkwalker Proximity,,
GAMEPLAY_DarkwalkerSuccessPagesFound,10/10 Diary Pages Found,,
GAMEPLAY_DarkwalkerWard_Desc,Safe zone for 15 minutes.,{bracket text} remains in English,
GAMEPLAY_DataCorrupt,Data Corrupt,,Data øydelagt
GAMEPLAY_Date,Date,,Dato
GAMEPLAY_DateSaved,Date Saved,,Dato lagra
GAMEPLAY_DavesQuietClearing,Dave's Quiet Clearing,,Dave sin stille lysning
GAMEPLAY_Dawn,Dawn,,Grålysing
GAMEPLAY_Day,Day,,Dag
GAMEPLAY_day,day,,dag
GAMEPLAY_Day2,Day 2,,Dag 2
GAMEPLAY_Day3,Day 3,,Dag 3
GAMEPLAY_Day4,Day 4,,Dag 4
GAMEPLAY_Day5,Day 5,,Dag 5
GAMEPLAY_DayAgo,Day Ago,Singular version of GAMEPLAY_DaysAgo,Dag sidan
GAMEPLAY_DayNumberFraction,Day {curr-value}/{total-value},,Dag {curr-value}/{total-value}
GAMEPLAY_days,days,,dagar
GAMEPLAY_DaysAgo,Days Ago,Displayed for saves that are less than 1 year old,Dagar sidan
GAMEPLAY_daysShortForm,d,,d
GAMEPLAY_DaysSurvived,Days Survived,,Dagar overlevd
GAMEPLAY_Deactivate,deactivate,"turn off, disable",Deaktiver
GAMEPLAY_DeadBush,Scrub Brush,"a small dead bush, no leaves on it",Daud busk
GAMEPLAY_DeadfallArea,deadfall Area,,Felte tre
GAMEPLAY_DeadGuard,Dead Prison Guard,,
GAMEPLAY_DeadGuardContainerOpen,Search Dead Prison Guard,,
GAMEPLAY_DeadGuardContainerSearch,Search Dead Prison Guard,,
GAMEPLAY_DeadManBadgeDescLocked,You have not completed As the Dead Sleep,,
GAMEPLAY_DeadManBadgeDescUnlocked,You have completed As the Dead Sleep,,
GAMEPLAY_DeadManBadgeName,As the Dead Sleep,,
GAMEPLAY_DeadManChallengeInstructions,"Visit all the grave sites marked on your map. There is no time limit. As your life ebbs, death is the only barrier.",,
GAMEPLAY_DeadManChallengeStartDesc,"The world is changed. But there's a chance for one last journey before the cold sets in. Walk the path, visit the graves, and make things right before the end.",,
GAMEPLAY_DeadManChallengeStartHeader,As the Dead Sleep,,
GAMEPLAY_DeadmanCompleteGravesFound,You Found {number} of {total} Graves,,
GAMEPLAY_DeadmanGrave1,Broken Railroad - Maintenance Shed,,
GAMEPLAY_DeadmanGrave2,Hushed River Valley - Many Falls Vista,,
GAMEPLAY_DeadmanGrave3,Timberwolf Mountain - Crystal Lake,,
GAMEPLAY_DeadmanGrave4,Ravine - Basin,,
GAMEPLAY_DeadmanGrave5,Desolation Point - The Riken,,
GAMEPLAY_DeadmanNote1,Memento Mori 1,,
GAMEPLAY_DeadmanNote2,Memento Mori 2,,
GAMEPLAY_DeadmanNote3,Memento Mori 3,,
GAMEPLAY_DeadmanNote4,Memento Mori 4,,
GAMEPLAY_DeadmanNote5,Memento Mori 5,,
GAMEPLAY_DeadmanObjectiveHeader,Graves visited before death,,
GAMEPLAY_DeadManWalkingLoadText,"The world is changed. But there's a chance for one last journey before the final cold sets in. Walk the path, visit the graves, and make things right before the end.
Visit all the grave sites marked on your map. There is no time limit. As your life ebbs, death is the only barrier.",,
GAMEPLAY_DeathBearAttack,You died from loss of blood and shock from a bear attack,,Du døydde av blodtap og sjokk etter eit bjørneåtak
GAMEPLAY_DeathBloodLoss,You died from blood loss,,Du døydde av blodtap
GAMEPLAY_DeathBloodLossSleeping,You died from blood loss while sleeping,,Du døydde av blodtap medan du sov
GAMEPLAY_DeathBurning,You burned to death,,Du brant til i hel
GAMEPLAY_DeathDehydrate,You died from dehydration,,Du døydde av dehydrering
GAMEPLAY_DeathDehydrateExhausted,You died from dehydration and exhaustion,,Du døydde av dehydrering og utmattelse
GAMEPLAY_DeathDehydrateExhaustedFreeze,"You died from dehydration, exhaustion, and exposure",,"Du døydde av dehydrering, utmatting og kulde"
GAMEPLAY_DeathDehydrateFreeze,You died from dehydration and exposure,,Du døydde av dehydrering og kulde
GAMEPLAY_DeathDrowning,You died from Drowning,,
GAMEPLAY_DeathDysentery,You died from dysentery,,Du døydde av dysenteri
GAMEPLAY_DeathDysenterySleeping,You died from dysentery while sleeping,,Du døydde av dysenteri medan du sov
GAMEPLAY_DeathExhausted,You died from exhaustion,,Du døydde av utmatting
